BinBase name	ret.index	quant mz	BB id	KEGG id	PubChem id	InChI	PValue	FoldChange	PValue.Adjusted
228983	466444	160	228983				0.0012951736905792	0.464577656675749	0.0185324032971731
242128	412533	116	242128				0.00144017412473645	0.492206726825267	0.0195674557687912
621949	690712	174	621949				0.482720617695589	0.717194570135747	0.67376714614913
221574	354121	85	221574				0.314683560913867	1.42979002624672	0.536897013427577
212251	888557	387	212251				0.0145556403030024	1.60344827586207	0.0686992381215882
704387	581257	313	704387				0.290956956477968	1.4141876430206	0.513061503407715
508989	641301	175	508989				0.092547380645241	1.56300268096515	0.250040291567844
229203	840930	94	229203				0.00997611791836416	0.500831946755408	0.054364980106278
231850	878626	122	231850				0.341273478870037	1.07843137254902	0.552414595576119
474686	794069	131	474686				0.962597977410214	1.13809523809524	0.980323817679406
696799	312044	228	696799				0.233537276392379	0.953002610966057	0.459093950763629
228885	250227	85	228885				0.336674686026651	1.08568693154619	0.549263613897391
369621	413958	88	369621				0.00991014084571538	0.409498680738786	0.054364980106278
626305	762013	192	626305				0.0433032488273638	0.573802541544477	0.15389308429417
203295	899587	94	203295				0.238391283634055	1.085	0.462103586741137
203311	1190822	204	203311				0.11774223734682	0.794753086419753	0.298824561001766
419631	685378	149	419631				0.420621857091858	2.95600942655145	0.614135042565727
309540	741287	117	309540				0.899468648867534	1.00529801324503	0.948754602230139
203221	508975	268	203221				0.000830574136758074	0.498212157330155	0.0153490100472892
704472	586975	105	704472				0.151583412949735	0.695492180312787	0.348415605884466
483342	706083	91	483342				0.8329495192361	1.83725247524752	0.927899731828286
203761	1250082	309	203761				0.956705435487747	1.02675585284281	0.980039714402082
616805	902913	108	616805				0.383694395590999	1.1214953271028	0.590889369210138
223521	1166398	283	223521				0.969802506713525	0.903790087463557	0.982563066012387
693690	321918	86	693690				0.50232983394477	0.952360234935828	0.692765323231295
270977	867673	375	270977				0.0162839388630891	1.48692810457516	0.0723382668725689
216428	505415	223	216428				0.548273425791026	0.906976744186046	0.735523100497158
321685	843904	217	321685				0.422716327999786	0.937625754527163	0.614135042565727
445906	290888	145	445906				0.2962575812939	1.00335195530726	0.518450767264325
227832	627964	226	227832				0.00490968001882617	0.705	0.0360043201380586
616767	235306	128	616767				0.899088535491365	1.00506899464939	0.948754602230139
210286	701682	217	210286				0.162615646690531	1.72403560830861	0.360798768054248
